User-ID,Division,Age,Travel-Style,Preferred-Type,Budget-Level
1,Chattogram,19,Luxury,Nature,2
2,Rajshahi,26,Luxury,Forest,5
3,Chattogram,55,Nature,Beach,1
4,Chattogram,31,Relaxation,Beach,5
5,Rajshahi,63,Luxury,Lake,2
6,Mymensingh,55,Cultural,Beach,2
7,Rangpur,39,Cultural,Hill,2
8,Barishal,24,Adventure,Lake,1
9,Barishal,40,Budget,Nature,1
10,Mymensingh,52,Adventure,Lake,1
11,Khulna,58,Budget,Wetland,5
12,Rajshahi,63,Adventure,Beach,2
13,Khulna,23,Relaxation,Forest,4
14,Khulna,47,Luxury,Wetland,2
15,Barishal,40,Relaxation,Nature,1
16,Sylhet,52,Luxury,Historical,2
17,Mymensingh,42,Cultural,Historical,3
18,Dhaka,32,Adventure,Wetland,4
19,Khulna,22,Relaxation,Wetland,2
20,Mymensingh,43,Luxury,City,2
21,Khulna,26,Relaxation,Nature,5
22,Rangpur,55,Nature,Wetland,2
23,Sylhet,50,Nature,Forest,1
24,Chattogram,27,Luxury,Hill,4
25,Chattogram,42,Nature,City,5
26,Khulna,53,Adventure,Forest,5
27,Khulna,59,Cultural,Forest,3
28,Rangpur,28,Nature,Beach,3
29,Sylhet,50,Adventure,Nature,5
30,Rajshahi,27,Cultural,Hill,5
31,Dhaka,56,Cultural,City,1
32,Chattogram,41,Cultural,Historical,1
33,Rajshahi,54,Adventure,Forest,4
34,Chattogram,52,Relaxation,Hill,4
35,Sylhet,34,Budget,Lake,2
36,Rajshahi,63,Cultural,Lake,3
37,Mymensingh,51,Nature,Forest,2
38,Rajshahi,22,Cultural,Beach,5
39,Rajshahi,55,Relaxation,Beach,1
40,Dhaka,32,Adventure,Beach,3
41,Chattogram,50,Relaxation,Nature,4
42,Rajshahi,52,Relaxation,City,2
43,Mymensingh,44,Relaxation,Forest,1
44,Rangpur,40,Nature,Lake,4
45,Dhaka,61,Luxury,Forest,1
46,Rangpur,64,Cultural,Forest,2
47,Rajshahi,30,Budget,City,2
48,Rangpur,29,Cultural,City,2
49,Chattogram,46,Budget,Forest,1
50,Dhaka,23,Relaxation,Hill,4
51,Mymensingh,48,Relaxation,Lake,1
52,Sylhet,42,Adventure,Lake,3
53,Mymensingh,36,Nature,City,2
54,Rajshahi,36,Relaxation,Beach,5
55,Dhaka,65,Cultural,Beach,1
56,Mymensingh,50,Budget,Hill,1
57,Chattogram,29,Adventure,Forest,2
58,Rangpur,25,Budget,Historical,5
59,Dhaka,57,Adventure,Lake,5
60,Barishal,34,Relaxation,Wetland,2
61,Khulna,43,Relaxation,Nature,4
62,Barishal,22,Adventure,City,5
63,Chattogram,22,Budget,Historical,5
64,Khulna,26,Cultural,Forest,2
65,Barishal,36,Relaxation,City,5
66,Khulna,57,Luxury,Beach,5
67,Khulna,60,Adventure,Hill,3
68,Chattogram,24,Luxury,Hill,3
69,Khulna,56,Relaxation,Wetland,2
70,Khulna,50,Nature,Nature,1
71,Chattogram,58,Nature,Nature,1
72,Dhaka,39,Relaxation,Nature,2
73,Mymensingh,53,Luxury,Lake,5
74,Dhaka,25,Adventure,Hill,5
75,Dhaka,41,Budget,Hill,4
76,Sylhet,20,Cultural,Wetland,1
77,Barishal,31,Luxury,Historical,1
78,Barishal,53,Nature,Hill,2
79,Sylhet,29,Nature,Beach,2
80,Barishal,44,Luxury,Historical,3
81,Sylhet,62,Adventure,Lake,1
82,Mymensingh,32,Relaxation,City,3
83,Khulna,32,Relaxation,Beach,2
84,Rangpur,39,Cultural,Forest,3
85,Barishal,59,Budget,Lake,5
86,Barishal,19,Adventure,Nature,2
87,Khulna,20,Adventure,Lake,3
88,Barishal,45,Budget,Forest,4
89,Rajshahi,34,Adventure,Lake,1
90,Rajshahi,41,Nature,Forest,3
91,Barishal,60,Adventure,Nature,5
92,Khulna,60,Nature,Wetland,4
93,Khulna,53,Relaxation,Historical,4
94,Rangpur,61,Luxury,Hill,5
95,Khulna,43,Budget,Beach,3
96,Khulna,31,Nature,Wetland,4
97,Mymensingh,46,Luxury,Historical,5
98,Mymensingh,65,Relaxation,Forest,3
99,Barishal,23,Relaxation,Nature,2
100,Rajshahi,27,Adventure,Beach,2
101,Mymensingh,57,Adventure,City,4
102,Rajshahi,63,Luxury,Lake,4
103,Rangpur,33,Relaxation,Beach,1
104,Rangpur,32,Relaxation,City,1
105,Rajshahi,25,Nature,Hill,4
106,Barishal,46,Budget,Lake,5
107,Mymensingh,28,Luxury,City,4
108,Khulna,33,Luxury,Nature,5
109,Mymensingh,58,Relaxation,Nature,4
110,Chattogram,63,Cultural,Historical,3
111,Barishal,38,Budget,Forest,2
112,Sylhet,32,Nature,Hill,2
113,Chattogram,44,Nature,Wetland,5
114,Mymensingh,44,Adventure,Historical,4
115,Rangpur,55,Luxury,Beach,5
116,Rangpur,48,Adventure,Wetland,3
117,Rangpur,44,Budget,Historical,4
118,Rajshahi,35,Nature,City,1
119,Rangpur,39,Luxury,Lake,2
120,Mymensingh,26,Budget,Beach,4
121,Dhaka,23,Luxury,Lake,2
122,Mymensingh,29,Adventure,Nature,4
123,Barishal,31,Nature,Wetland,3
124,Rangpur,35,Nature,Nature,1
125,Mymensingh,19,Luxury,Beach,3
126,Rajshahi,59,Adventure,Beach,1
127,Rajshahi,30,Adventure,Hill,2
128,Sylhet,48,Luxury,Forest,5
129,Rajshahi,47,Luxury,Nature,3
130,Sylhet,56,Budget,Forest,2
131,Khulna,24,Budget,Beach,3
132,Rangpur,43,Luxury,Historical,1
133,Rajshahi,24,Luxury,Nature,5
134,Chattogram,54,Adventure,Wetland,5
135,Rangpur,60,Cultural,Forest,5
136,Barishal,18,Nature,City,1
137,Rangpur,41,Luxury,City,2
138,Rangpur,29,Luxury,Nature,5
139,Mymensingh,47,Nature,Nature,3
140,Rajshahi,23,Cultural,City,2
141,Mymensingh,54,Budget,Lake,3
142,Dhaka,49,Cultural,Hill,4
143,Rajshahi,40,Cultural,Wetland,3
144,Khulna,53,Adventure,Historical,1
145,Rajshahi,64,Nature,City,5
146,Rajshahi,62,Nature,City,4
147,Dhaka,23,Cultural,Historical,4
148,Rajshahi,37,Luxury,Wetland,4
149,Barishal,45,Luxury,Wetland,3
150,Mymensingh,35,Cultural,Nature,2
151,Chattogram,64,Relaxation,Wetland,1
152,Sylhet,30,Relaxation,City,3
153,Khulna,24,Relaxation,Nature,2
154,Barishal,29,Cultural,Beach,5
155,Sylhet,35,Adventure,Beach,5
156,Khulna,62,Relaxation,City,1
157,Dhaka,54,Cultural,City,4
158,Mymensingh,39,Relaxation,Beach,3
159,Mymensingh,25,Adventure,Lake,4
160,Chattogram,54,Luxury,Beach,2
161,Sylhet,54,Cultural,Forest,2
162,Chattogram,53,Nature,Historical,5
163,Rangpur,46,Nature,Nature,5
164,Rangpur,37,Budget,Beach,5
165,Chattogram,31,Luxury,Historical,3
166,Chattogram,28,Relaxation,Hill,5
167,Chattogram,28,Adventure,Lake,4
168,Mymensingh,36,Adventure,Historical,3
169,Khulna,62,Nature,Forest,2
170,Khulna,58,Budget,Historical,4
171,Chattogram,52,Relaxation,Hill,3
172,Sylhet,22,Adventure,Hill,3
173,Khulna,46,Adventure,City,3
174,Rangpur,35,Budget,City,4
175,Chattogram,56,Adventure,Lake,3
176,Khulna,19,Adventure,Historical,5
177,Dhaka,61,Cultural,Beach,2
178,Mymensingh,51,Luxury,City,3
179,Sylhet,55,Nature,City,1
180,Mymensingh,40,Nature,Wetland,3
181,Chattogram,28,Cultural,Lake,4
182,Khulna,60,Nature,Beach,4
183,Chattogram,38,Cultural,Wetland,1
184,Rangpur,50,Adventure,City,4
185,Dhaka,30,Budget,Wetland,5
186,Mymensingh,58,Nature,Beach,2
187,Khulna,53,Relaxation,Nature,4
188,Mymensingh,25,Adventure,Historical,2
189,Khulna,53,Adventure,Lake,1
190,Rajshahi,25,Nature,Forest,2
191,Mymensingh,63,Cultural,Nature,4
192,Mymensingh,48,Relaxation,City,5
193,Sylhet,42,Relaxation,Hill,1
194,Khulna,44,Cultural,Nature,1
195,Khulna,64,Cultural,City,2
196,Mymensingh,52,Nature,Wetland,3
197,Rangpur,47,Cultural,Historical,2
198,Rangpur,32,Nature,Beach,3
199,Mymensingh,63,Nature,Lake,2
200,Mymensingh,20,Relaxation,Wetland,1
201,Mymensingh,24,Budget,City,1
202,Sylhet,44,Luxury,Hill,1
203,Mymensingh,34,Cultural,Lake,1
204,Barishal,61,Budget,Lake,3
205,Mymensingh,52,Adventure,Forest,2
206,Khulna,32,Luxury,Forest,4
207,Chattogram,58,Luxury,Forest,4
208,Sylhet,62,Cultural,Beach,1
209,Barishal,21,Cultural,Wetland,3
210,Rangpur,27,Relaxation,Lake,5
211,Sylhet,28,Relaxation,Forest,5
212,Rangpur,57,Luxury,Historical,4
213,Sylhet,32,Nature,Nature,4
214,Khulna,60,Adventure,City,3
215,Sylhet,22,Nature,Wetland,5
216,Khulna,58,Nature,Nature,4
217,Khulna,30,Nature,City,1
218,Rajshahi,42,Budget,Wetland,5
219,Khulna,62,Cultural,Beach,4
220,Khulna,18,Budget,Beach,5
221,Mymensingh,36,Relaxation,Wetland,2
222,Rajshahi,57,Cultural,Hill,1
223,Dhaka,37,Nature,Beach,5
224,Barishal,64,Relaxation,Forest,3
225,Barishal,65,Nature,Hill,2
226,Sylhet,52,Cultural,Nature,2
227,Khulna,48,Cultural,Wetland,1
228,Mymensingh,22,Relaxation,Historical,4
229,Barishal,23,Nature,Beach,3
230,Chattogram,47,Cultural,Nature,5
231,Rangpur,58,Cultural,Forest,2
232,Mymensingh,19,Budget,Wetland,5
233,Rajshahi,59,Adventure,City,3
234,Rangpur,25,Relaxation,Beach,1
235,Khulna,49,Adventure,Forest,2
236,Sylhet,42,Nature,Wetland,5
237,Rangpur,55,Luxury,Hill,4
238,Chattogram,49,Budget,Lake,3
239,Dhaka,62,Cultural,Historical,4
240,Mymensingh,33,Cultural,Forest,3
241,Barishal,21,Nature,Nature,2
242,Chattogram,47,Adventure,Historical,5
243,Dhaka,21,Cultural,Historical,2
244,Rajshahi,22,Budget,Historical,5
245,Rajshahi,32,Cultural,Hill,5
246,Dhaka,35,Relaxation,Hill,5
247,Khulna,29,Adventure,Beach,2
248,Dhaka,40,Relaxation,Wetland,1
249,Sylhet,34,Adventure,Hill,4
250,Chattogram,65,Adventure,City,4
251,Barishal,50,Budget,Forest,4
252,Rajshahi,57,Adventure,Nature,4
253,Dhaka,21,Nature,Lake,4
254,Chattogram,49,Luxury,City,1
255,Chattogram,38,Budget,Hill,1
256,Sylhet,35,Budget,Wetland,4
257,Khulna,47,Budget,Lake,1
258,Chattogram,59,Luxury,Historical,4
259,Mymensingh,32,Nature,Wetland,4
260,Rangpur,44,Luxury,Forest,3
261,Rangpur,38,Luxury,Nature,3
262,Sylhet,61,Nature,Forest,1
263,Chattogram,23,Nature,Forest,3
264,Sylhet,53,Adventure,Wetland,1
265,Rangpur,40,Luxury,Lake,1
266,Khulna,56,Cultural,Wetland,1
267,Rajshahi,27,Luxury,City,2
268,Chattogram,40,Budget,Wetland,1
269,Khulna,54,Relaxation,Lake,5
270,Dhaka,56,Luxury,Nature,1
271,Sylhet,35,Luxury,Nature,3
272,Barishal,18,Relaxation,Hill,5
273,Rangpur,22,Relaxation,Beach,1
274,Rajshahi,42,Nature,City,3
275,Sylhet,41,Cultural,Wetland,5
276,Chattogram,21,Relaxation,Hill,5
277,Dhaka,61,Adventure,Nature,4
278,Rangpur,49,Budget,City,4
279,Khulna,31,Budget,Forest,3
280,Rangpur,25,Cultural,City,5
281,Khulna,20,Relaxation,Lake,5
282,Dhaka,18,Relaxation,Nature,2
283,Sylhet,34,Cultural,Wetland,1
284,Dhaka,49,Luxury,Lake,2
285,Sylhet,42,Budget,Historical,5
286,Barishal,22,Nature,Beach,4
287,Dhaka,47,Adventure,Wetland,5
288,Rangpur,54,Nature,Lake,3
289,Chattogram,43,Adventure,Wetland,2
290,Mymensingh,62,Cultural,Forest,4
291,Chattogram,33,Nature,Lake,5
292,Chattogram,43,Cultural,Wetland,2
293,Barishal,28,Adventure,Forest,5
294,Rajshahi,40,Cultural,Hill,2
295,Chattogram,27,Cultural,Historical,2
296,Sylhet,59,Adventure,Hill,4
297,Mymensingh,54,Budget,City,5
298,Barishal,58,Cultural,Hill,4
299,Chattogram,48,Nature,Nature,3
300,Dhaka,40,Budget,Forest,3
